Code,Resource,Status,Location,Inc#,Name
DOZ73,MPRD Fuels Dozer,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
E17LPF,LPF Engine 17,Out of Svc,03 LPF ARROYO SECO STATION,,
E18LPF,LPF Engine 18,Out of Svc,03 LPF BIG SUR STATION,,
E314ANF,ANF Engine 314,Out of Svc,03 LPF LOS ALAMOS STATION,,
E315LPF4X4,LPF Engine 315,Out of Svc,07 LPF MISSION CREEK STATION,,
E316LPF4X4,LPF Engine 316,Out of Svc,21 LPF BRAZIL RANCH,,
E317LPF,LPF Engine 317,Avail Qtrs,03 LPF PACIFIC VALLEY STATION,,
E319LPF,LPF Engine 319,Available,03 LPF BIG SUR STATION,,
E331LPF4X4,LPF Engine 331,Avail Qtrs,03 LPF POZO STATION,,
E335LPF,LPF Engine 335,Avail Qtrs,03 LPF PINE CANYON STATION,,
E337LPF,LPF Engine 337,Avail Qtrs,03 LPF SANTA MARIA OFFICE,,
E338LPF4X4,LPF Engine 338,Out of Svc,03 LPF FIGUEROA STATION,,
E341LPF4X4,LPF Engine 341,Out of Svc,03 LPF SAN MARCOS STATION,,
E342LPF4X4,LPF Engine 342,Out of Svc,03 LPF LOS PRIETOS STATION,,
E343LPF,LPF Engine 343,Avail Qtrs,08 LPF LOS PRIETOS ENG 43,,
E346LPF,LPF Engine 346,Avail Qtrs,03 LPF GIBTRALTAR STATION,,
E352LPF,LPF Engine 352,Avail Qtrs,03 LPF OJAI STATION,,
E353LPF,LPF Engine 353,Avail Qtrs,03 LPF TEMESCAL STATION,,
E354LPF,LPF Engine 354,Out of Svc,03 LPF SESPE/FILLMORE,,
E355LPF,LPF Engine 355,Avail Qtrs,03 LPF WHEELER GORGE STATION,,
E371LPF4X4,LPF Engine 371,Out of Svc,03 LPF CHUCHUPATE STATION,,
E372LPF,LPF Engine 372,Out of Svc,03 LPF OZENA STATION,,
E373LPF4X4,LPF Engine 373,Committed,03 LPF CHUCHUPATE STATION,CALPF-303,Tecuya Ridge RX
E374LPF,LPF Engine 374,Committed,03 LPF CHUCHUPATE STATION,CALPF-303,Tecuya Ridge RX
E375LPF,LPF Engine 75,Committed,03 LPF CHUCHUPATE STATION,CALPF-303,Tecuya Ridge RX
E381CHU,CHUMASH Type 3 E381,Out of Svc,13 LPF CHUMASH SANTA YNEZ,,
E44LPF,LPF Engine  44,Avail Qtrs,03 LPF RINCON STATION,,
E51LPF,LPF Engine 51,Out of Svc,03 LPF CASITAS STATION,,
